chapter_id,episode_id,element_id,interaction_label_zh,title_en,parameter,unlock_condition,content_hints
101,10101,1010101,残篇阅读,The Opportunist and The Sticky Gum,1,EpisodeFinish=10101,dialog
101,10105,1010501,残篇阅读,Intermission,2,EpisodeFinish=10104,dialog
101,10115,1011501,谜题问答,How Many Older Sisters Does Schneider Have?,12,EpisodeFinish=10120,dialog
102,10203,1020301,交互,The Door with Wet Paint,1#980025#1,EpisodeFinish=10203,fragment
103,10311,1031101,交互,The Puppy You know,1#980029#1,EpisodeFinish=10311,fragment
104,10403,1040301,残篇阅读,The Sun Will Continue to Rise,11,EpisodeFinish=403,dialog
104,10408,1040802,残篇阅读,A Ride on the Toboggan,12,EpisodeFinish=10408,dialog
104,10414,1041402,残篇阅读,Legwork,13,EpisodeFinish=10414,dialog
105,10501,1050101,交互,Deck Decoration Group,,EpisodeFinish=10501,fragment
105,10504,1050401,谜题问答,"In the ""Storm""",4,EpisodeFinish=504,fragment+dialog
106,10601,100601,残篇阅读,A Doctor Interpreting Dreams,23,EpisodeFinish=10601,dialog
106,10602,100602,交互,Suggestion Box,,EpisodeFinish=10602,fragment
106,10603,100603,交互,Employee Notes,,EpisodeFinish=603,fragment
106,10604,100604,残篇阅读,The Mitosis,24,EpisodeFinish=604,dialog
106,10606,100605,残篇阅读,Trail ① The Weight of a Name,25,EpisodeFinish=606,dialog
106,10607,100606,交互,Ownerless Notebook,,EpisodeFinish=607,fragment
106,10608,100607,残篇阅读,Children of the Empire,26,EpisodeFinish=608,dialog
106,10609,100608,交互,Friendly Exchange,,EpisodeFinish=10609,fragment
106,10610,100610,交互,Vienna Daily,,EpisodeFinish=610,fragment
106,10611,100611,交互,"""Trash""",,EpisodeFinish=10611,fragment
106,10612,100612,交互,Shoeshine Boys,,EpisodeFinish=612,fragment
106,10619,100617,交互,Experiment Record,,EpisodeFinish=619,fragment
106,10620,100618,交互,Heavy Door,,EpisodeFinish=10620,fragment
106,10621,100619,交互,Data Booklet,,EpisodeFinish=621,fragment
106,10622,100620,交互,A Warrior's Song,,EpisodeFinish=10622,fragment
106,10624,100621,交互,White Envelope,,EpisodeFinish=624,fragment
107,10702,1070201,交互,"""Storm"" Shelter Notice",,EpisodeFinish=10702,fragment
107,10703,1070301,交互,Storm Syndrome Investigation Record,,EpisodeFinish=703,fragment
107,10705,1070501,交互,Decryption Team Personnel List,,EpisodeFinish=705,fragment
107,10706,1070602,交互,Equipment Failure Repair Record,,ChapterMapElement=1070601,fragment
107,10710,1071001,交互,Funeral Postponement Notice,,EpisodeFinish=710,fragment
107,10711,1071102,交互,Assistant's Record,,ChapterMapElement=1071101,fragment
107,10712,1071201,交互,Wine Brewing Season,,ChapterMapElement=100701,fragment
107,10715,1071501,交互,Diagnosis Record - Awakened,,EpisodeFinish=10715,fragment
107,10717,1071701,交互,Encrypted Record #832,,EpisodeFinish=10717,fragment
107,10720,1072001,交互,A Trail in the Forest,,EpisodeFinish=720,fragment
107,10724,1072401,交互,Applying Chladni Plate Sound Propagation,,EpisodeFinish=724,fragment
107,10726,1072601,交互,Surveillance Report on Ms. Weyerhaeuser,,EpisodeFinish=726,fragment
107,10726,1072602,交互,The Last Big Newsflash!,,ChapterMapElement=1072601,fragment
107,10730,1073001,交互,/lo/ - So which poor sap's up for the spot next?,,EpisodeFinish=10730,fragment
108,10801,1080101,交互,Instructions in Advance,,EpisodeFinish=10801,fragment
108,10803,1080301,交互,Same as Before,,EpisodeFinish=803,fragment
108,10804,1080401,交互,The Price of Procrastination,,EpisodeFinish=10804,fragment
108,10805,1080502,交互,Incarceration Record,,EpisodeFinish=805,fragment
108,10808,1080801,交互,Interview Guidelines,,EpisodeFinish=10808,fragment
108,10808,1080802,往日的分径,Paths of the Past - Anjo Nala,,EpisodeFinish=10808,fragment
108,10809,1080901,交互,Innovative Advertising,,EpisodeFinish=809,fragment
108,10809,1080902,往日的分径,Paths of the Past - Dr. Dores,,EpisodeFinish=809,fragment
108,10811,1081101,往日的分径,Paths of the Past - Mr. Duncan,,EpisodeFinish=811,fragment
108,10812,1081201,交互,Wall of Gratitude,,EpisodeFinish=10812,fragment
108,10812,1081202,往日的分径,Paths of the Past - Anjo Nala,,EpisodeFinish=10812,fragment
